upstream_part,up_part_rev,upstream_output_port,downstream_part,down_part_rev,downstream_input_port,start_gpstime,stop_gpstime
RI1A4N,A,b,RCVR36,A,na,1096484416,
RI1A5E,A,b,RCVR123,A,ea,1096484416,
RI1A5N,A,b,RCVR123,A,na,1096484416,
RI1A6E,A,b,RCVR4,A,ea,1096484416,
RI1A6N,A,b,RCVR4,A,na,1096484416,
RI1A7E,A,b,RCVR51,A,ea,1096484416,
RI1A7N,A,b,RCVR51,A,na,1096484416,
RI1A8E,A,b,RCVR35,A,ea,1096484416,
RI1A8N,A,b,RCVR35,A,na,1096484416,
RI1B1E,A,b,RCVR91,A,ea,1096484416,
RI1B1N,A,b,RCVR91,A,na,1096484416,
RI1B2E,A,b,RCVR116,A,ea,1096484416,
RI1B2N,A,b,RCVR116,A,na,1096484416,
RI1B3E,A,b,RCVR72,A,ea,1096484416,
RI1B3N,A,b,RCVR72,A,na,1096484416,
RI1B4E,A,b,RCVR92,A,ea,1096484416,
RI1B4N,A,b,RCVR92,A,na,1096484416,
RI1B5E,A,b,RCVR125,A,ea,1096484416,
RI1B5N,A,b,RCVR125,A,na,1096484416,
RI1B6E,A,b,RCVR50,A,ea,1096484416,
RI1B6N,A,b,RCVR50,A,na,1096484416,
RI1B7E,A,b,RCVR115,A,ea,1096484416,
RI1B7N,A,b,RCVR115,A,na,1096484416,
RI1B8E,A,b,RCVR54,A,ea,1096484416,
RI1B8N,A,b,RCVR54,A,na,1096484416,
RI2A1E,A,b,RCVR5,A,ea,1096484416,
RI2A1N,A,b,RCVR5,A,na,1096484416,
RI2A2E,A,b,RCVR6,A,ea,1096484416,
RI2A2N,A,b,RCVR6,A,na,1096484416,
RI2A3E,A,b,RCVR82,A,ea,1096484416,
RI2A3N,A,b,RCVR82,A,na,1096484416,
RI2A4E,A,b,RCVR70,A,ea,1096484416,
RI2A4N,A,b,RCVR70,A,na,1096484416,
RI2A5E,A,b,RCVR87,A,ea,1096484416,
RI2A5N,A,b,RCVR87,A,na,1096484416,
RI2A6E,A,b,RCVR100,A,ea,1096484416,
RI2A6N,A,b,RCVR100,A,na,1096484416,
RI2A7E,A,b,RCVR11,A,ea,1096484416,
RI2A7N,A,b,RCVR11,A,na,1096484416,
RI2A8E,A,b,RCVR13,A,ea,1096484416,
RI2A8N,A,b,RCVR13,A,na,1096484416,
RI2B1E,A,b,RCVR15,A,ea,1096484416,
RI2B1N,A,b,RCVR15,A,na,1096484416,
RI2B2E,A,b,RCVR71,A,ea,1096484416,
RI2B2N,A,b,RCVR71,A,na,1096484416,
RI2B3E,A,b,RCVR8,A,ea,1096484416,
RI2B3N,A,b,RCVR8,A,na,1096484416,
RI2B4E,A,b,RCVR108,A,ea,1096484416,
