hpn,hpn_rev,hptype,manufacturer_number,start_date,stop_date
A0,A,dish,P0,2014-10-01,
A1,A,dish,P1,2014-10-01,
A10,A,dish,14,2014-10-01,
A100,A,dish,P100,2014-10-01,
A101,A,dish,P101,2014-10-01,
A102,A,dish,P102,2014-10-01,
A103,A,dish,P103,2014-10-01,
A104,A,dish,2,2014-10-01,
A105,A,dish,6,2014-10-01,
A106,A,dish,P106,2014-10-01,
A107,A,dish,P107,2014-10-01,2016-05-01
A108,A,dish,P108,2014-10-01,
A109,A,dish,P109,2014-10-01,
A11,A,dish,P11,2014-10-01,
A110,A,dish,P110,2014-10-01,
A111,A,dish,P111,2014-10-01,
A112,A,dish,8,2014-10-01,
A113,A,dish,P113,2014-10-01,
A114,A,dish,P114,2014-10-01,
A115,A,dish,P115,2014-10-01,
A116,A,dish,P116,2014-10-01,
A117,A,dish,P117,2014-10-01,
A118,A,dish,P118,2014-10-01,
A119,A,dish,P119,2014-10-01,
A12,A,dish,P12,2014-10-01,
A120,A,dish,P120,2014-10-01,
A121,A,dish,P121,2014-10-01,
A122,A,dish,P122,2014-10-01,
A123,A,dish,P123,2014-10-01,
A124,A,dish,P124,2014-10-01,
A125,A,dish,P125,2014-10-01,
A126,A,dish,P126,2014-10-01,2016-05-01
A127,A,dish,P127,2014-10-01,2016-05-01
A13,A,dish,P13,2014-10-01,
A14,A,dish,P14,2014-10-01,
A15,A,dish,P15,2014-10-01,
A16,A,dish,P16,2014-10-01,
A17,A,dish,P17,2014-10-01,
A18,A,dish,P18,2014-10-01,
A19,A,dish,P19,2014-10-01,2016-05-01
A2,A,dish,P2,2014-10-01,
A20,A,dish,12,2014-10-01,
A21,A,dish,P21,2014-10-01,
A22,A,dish,9,2014-10-01,
A23,A,dish,P23,2014-10-01,
A24,A,dish,P24,2014-10-01,
A25,A,dish,P25,2014-10-01,2016-05-01
A26,A,dish,P26,2014-10-01,
A27,A,dish,P27,2014-10-01,
A28,A,dish,P28,2014-10-01,
A29,A,dish,P29,2014-10-01,
A3,A,dish,P3,2014-10-01,
A30,A,dish,P30,2014-10-01,
A31,A,dish,17,2014-10-01,
A32,A,dish,P32,2014-10-01,
A33,A,dish,P33,2014-10-01,2016-05-01
A34,A,dish,P34,2014-10-01,
A35,A,dish,P35,2014-10-01,2016-05-01
A36,A,dish,P36,2014-10-01,
A37,A,dish,P37,2014-10-01,
A38,A,dish,P38,2014-10-01,
A39,A,dish,P39,2014-10-01,
A4,A,dish,P4,2014-10-01,
A40,A,dish,P40,2014-10-01,
A41,A,dish,P41,2014-10-01,2016-05-01
A42,A,dish,P42,2014-10-01,
A43,A,dish,15,2014-10-01,
A44,A,dish,P44,2014-10-01,
A45,A,dish,P45,2014-10-01,
A46,A,dish,P46,2014-10-01,
A47,A,dish,P47,2014-10-01,
A48,A,dish,P48,2014-10-01,
A49,A,dish,P49,2014-10-01,
A5,A,dish,P5,2014-10-01,
A50,A,dish,P50,2014-10-01,
A51,A,dish,P51,2014-10-01,
A52,A,dish,P52,2014-10-01,
A53,A,dish,19,2014-10-01,
A54,A,dish,P54,2014-10-01,
A55,A,dish,P55,2014-10-01,
A56,A,dish,P56,2014-10-01,
A57,A,dish,P57,2014-10-01,
A58,A,dish,P58,2014-10-01,
A59,A,dish,P59,2014-10-01,
A6,A,dish,P6,2014-10-01,
A60,A,dish,P60,2014-10-01,
A61,A,dish,P61,2014-10-01,
A62,A,dish,P62,2014-10-01,
A63,A,dish,P63,2014-10-01,
A64,A,dish,4,2014-10-01,
A65,A,dish,16,2014-10-01,
A66,A,dish,P66,2014-10-01,
A67,A,dish,P67,2014-10-01,
A68,A,dish,P68,2014-10-01,
A69,A,dish,P69,2014-10-01,
A7,A,dish,P7,2014-10-01,
A70,A,dish,P70,2014-10-01,
A71,A,dish,P71,2014-10-01,
A72,A,dish,7,2014-10-01,
A73,A,dish,P73,2014-10-01,
A74,A,dish,P74,2014-10-01,
A75,A,dish,P75,2014-10-01,2016-05-01
A76,A,dish,P76,2014-10-01,
