upstream_part,up_part_rev,downstream_part,down_part_rev,upstream_output_port,downstream_input_port,start_date,stop_date
A0,A,FDP0,A,focus,input,2014-10-01 07:00:00+00:00,
A100,A,FDP100,A,focus,input,2014-10-01 07:00:00+00:00,
A101,A,FDP101,A,focus,input,2014-10-01 07:00:00+00:00,
A102,A,FDP102,A,focus,input,2014-10-01 07:00:00+00:00,
A103,A,FDP103,A,focus,input,2014-10-01 07:00:00+00:00,
A104,A,FDA104,A,focus,input,2014-10-01 07:00:00+00:00,
A105,A,FDA105,A,focus,input,2014-10-01 07:00:00+00:00,
A106,A,FDP106,A,focus,input,2014-10-01 07:00:00+00:00,
A107,A,FDP107,A,focus,input,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
A108,A,FDP108,A,focus,input,2014-10-01 07:00:00+00:00,
A109,A,FDP109,A,focus,input,2014-10-01 07:00:00+00:00,
A10,A,FDA10,A,focus,input,2014-10-01 07:00:00+00:00,
A110,A,FDP110,A,focus,input,2014-10-01 07:00:00+00:00,
A111,A,FDP111,A,focus,input,2014-10-01 07:00:00+00:00,
A112,A,FDA112,A,focus,input,2014-10-01 07:00:00+00:00,
A113,A,FDP113,A,focus,input,2014-10-01 07:00:00+00:00,
A114,A,FDP114,A,focus,input,2014-10-01 07:00:00+00:00,
A115,A,FDP115,A,focus,input,2014-10-01 07:00:00+00:00,
A116,A,FDP116,A,focus,input,2014-10-01 07:00:00+00:00,
A117,A,FDP117,A,focus,input,2014-10-01 07:00:00+00:00,
A118,A,FDP118,A,focus,input,2014-10-01 07:00:00+00:00,
A119,A,FDP119,A,focus,input,2014-10-01 07:00:00+00:00,
A11,A,FDP11,A,focus,input,2014-10-01 07:00:00+00:00,
A120,A,FDP120,A,focus,input,2014-10-01 07:00:00+00:00,
A121,A,FDP121,A,focus,input,2014-10-01 07:00:00+00:00,
A122,A,FDP122,A,focus,input,2014-10-01 07:00:00+00:00,
A123,A,FDP123,A,focus,input,2014-10-01 07:00:00+00:00,
A124,A,FDP124,A,focus,input,2014-10-01 07:00:00+00:00,
A125,A,FDP125,A,focus,input,2014-10-01 07:00:00+00:00,
A126,A,FDP126,A,focus,input,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
A127,A,FDP127,A,focus,input,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
A12,A,FDP12,A,focus,input,2014-10-01 07:00:00+00:00,
A13,A,FDP13,A,focus,input,2014-10-01 07:00:00+00:00,
A14,A,FDP14,A,focus,input,2014-10-01 07:00:00+00:00,
A15,A,FDP15,A,focus,input,2014-10-01 07:00:00+00:00,
A16,A,FDP16,A,focus,input,2014-10-01 07:00:00+00:00,
A17,A,FDP17,A,focus,input,2014-10-01 07:00:00+00:00,
A18,A,FDP18,A,focus,input,2014-10-01 07:00:00+00:00,
A19,A,FDP19,A,focus,input,2014-10-01 07:00:00+00:00,2016-05-01 21:00:00
A1,A,FDP1,A,focus,input,2014-10-01 07:00:00+00:00,
A20,A,FDA20,A,focus,input,2014-10-01 07:00:00+00:00,
A21,A,FDP21,A,focus,input,2014-10-01 07:00:00+00:00,
A22,A,FDA22,A,focus,input,2014-10-01 07:00:00+00:00,
A23,A,FDP23,A,focus,input,2014-10-01 07:00:00+00:00,
A24,A,FDP24,A,focus,input,2014-10-01 07:00:00+00:00,
