$_maindb_$:DAVE
station_name,station_type_name,datum,tile,northing,easting,elevation,created_date
HH70,herahex,WGS84,34J,6601133.96,540938.1,1051.92,2017-03-11 02:04:29
HH71,herahex,WGS84,34J,6601133.96,540952.7,1052.03,2017-03-11 02:47:17
SG8,stationgrid,WGS84,34J,6601132.84,540994.12,1051.89,2014-10-04 05:00:00
SG9,stationgrid,WGS84,34J,6601132.84,541009.12,1051.9,2014-10-04 05:00:00
HH85,herahex,WGS84,34J,6601146.6,540916.2,1051.77,2017-01-24 08:25:00
COFA_HSA7458_V000,cofa,WGS84,34J,6601181.0,541007.0,1051.69,2017-01-22 02:37:00
HH0,herahex,WGS84,34J,6601070.74,540901.6,1052.63,2014-10-04 05:00:00
HH1,herahex,WGS84,34J,6601070.74,540916.2,1052.62,2014-10-04 05:00:00
HH11,herahex,WGS84,34J,6601083.38,540894.3,1052.48,2014-10-04 05:00:00
HH12,herahex,WGS84,34J,6601083.38,540908.9,1052.41,2014-10-04 05:00:00
HH13,herahex,WGS84,34J,6601083.38,540923.5,1052.35,2014-10-04 05:00:00
HH14,herahex,WGS84,34J,6601083.38,540938.1,1052.49,2014-10-04 05:00:00
HH2,herahex,WGS84,34J,6601070.74,540930.8,1052.61,2014-10-04 05:00:00
HH23,herahex,WGS84,34J,6601096.03,540887.0,1052.34,2014-10-04 05:00:00
HH24,herahex,WGS84,34J,6601096.03,540901.6,1052.36,2014-10-04 05:00:00
HH25,herahex,WGS84,34J,6601096.03,540916.2,1052.35,2014-10-04 05:00:00
HH26,herahex,WGS84,34J,6601096.03,540930.8,1052.34,2014-10-04 05:00:00
HH27,herahex,WGS84,34J,6601096.03,540945.4,1052.44,2014-10-04 05:00:00
HH37,herahex,WGS84,34J,6601108.67,540894.3,1052.26,2014-10-04 05:00:00
HH38,herahex,WGS84,34J,6601108.67,540908.9,1052.25,2014-10-04 05:00:00
HH39,herahex,WGS84,34J,6601108.67,540923.5,1052.22,2014-10-04 05:00:00
HH40,herahex,WGS84,34J,6601108.67,540938.1,1052.24,2014-10-04 05:00:00
HH52,herahex,WGS84,34J,6601121.32,540901.6,1052.1,2014-10-04 05:00:00
HH53,herahex,WGS84,34J,6601121.32,540916.2,1052.07,2014-10-04 05:00:00
HH54,herahex,WGS84,34J,6601121.32,540930.8,1052.08,2014-10-04 05:00:00
PH00,paperhex,WGS84,34J,6601070.71,541018.4,1052.58,2014-10-04 05:00:00
PH01,paperhex,WGS84,34J,6601070.71,541033.0,1052.51,2014-10-04 05:00:00
PH02,paperhex,WGS84,34J,6601070.71,541047.6,1052.65,2014-10-04 05:00:00
PH11,paperhex,WGS84,34J,6601083.36,541011.1,1052.4,2014-10-04 05:00:00
PH12,paperhex,WGS84,34J,6601083.36,541025.7,1052.42,2014-10-04 05:00:00
PH13,paperhex,WGS84,34J,6601083.36,541040.3,1052.45,2014-10-04 05:00:00
PH14,paperhex,WGS84,34J,6601083.36,541054.9,1052.5,2014-10-04 05:00:00
PH23,paperhex,WGS84,34J,6601096.0,541003.8,1052.35,2014-10-04 05:00:00
PH24,paperhex,WGS84,34J,6601096.0,541018.4,1052.27,2014-10-04 05:00:00
PH25,paperhex,WGS84,34J,6601096.0,541033.0,1052.29,2014-10-04 05:00:00
PH26,paperhex,WGS84,34J,6601096.0,541047.6,1052.28,2014-10-04 05:00:00
PH27,paperhex,WGS84,34J,6601096.0,541062.2,1052.32,2014-10-04 05:00:00
PH37,paperhex,WGS84,34J,6601108.64,541011.1,1052.19,2014-10-04 05:00:00
PH38,paperhex,WGS84,34J,6601108.64,541025.7,1052.27,2014-10-04 05:00:00
PH39,paperhex,WGS84,34J,6601108.64,541040.3,1052.15,2014-10-04 05:00:00
PH40,paperhex,WGS84,34J,6601108.64,541054.9,1052.21,2014-10-04 05:00:00
PH52,paperhex,WGS84,34J,6601121.29,541018.4,1052.04,2014-10-04 05:00:00
PH53,paperhex,WGS84,34J,6601121.29,541033.0,1052.06,2014-10-04 05:00:00
PH54,paperhex,WGS84,34J,6601121.29,541047.6,1052.04,2014-10-04 05:00:00
HH55,herahex,WGS84,34J,6601121.32,540945.4,1052.05,2017-03-11 02:47:29
HH56,herahex,WGS84,34J,6601121.32,540960.0,1052.06,2017-03-04 04:23:42
HH3,herahex,WGS84,34J,6601070.74,540945.4,1052.54,2017-03-02 09:17:40
PI2,paperimaging,WGS84,34J,6601293.37,541014.05,1050.67,2014-10-04 05:00:00
