hpn,hpn_rev,hptype,manufacturer_number,start_gpstime,stop_gpstime
FDP13,A,feed,P13,1096509616,1184354472
FDA10,A,feed,P10,1096509616,1184354915
A68,H,antenna,H37,1184355359,
RI7B5N,A,cable_receiverin_n,RI7B5N,1096509616,
RI7B6E,A,cable_receiverin_e,RI7B6E,1096509616,
RI7B6N,A,cable_receiverin_n,RI7B6N,1096509616,
RI7B7E,A,cable_receiverin_e,RI7B7E,1096509616,
RI7B7N,A,cable_receiverin_n,RI7B7N,1096509616,
RI7B8E,A,cable_receiverin_e,RI7B8E,1096509616,
RI7B8N,A,cable_receiverin_n,RI7B8N,1096509616,
RI8A1E,A,cable_receiverin_e,RI8A1E,1096509616,
RI8A1N,A,cable_receiverin_n,RI8A1N,1096509616,
RI8A2E,A,cable_receiverin_e,RI8A2E,1096509616,
RI8A2N,A,cable_receiverin_n,RI8A2N,1096509616,
RI8A3E,A,cable_receiverin_e,RI8A3E,1096509616,
RI8A3N,A,cable_receiverin_n,RI8A3N,1096509616,
RI8A4E,A,cable_receiverin_e,RI8A4E,1096509616,
RI8A4N,A,cable_receiverin_n,RI8A4N,1096509616,
RI8A5E,A,cable_receiverin_e,RI8A5E,1096509616,
RI8A5N,A,cable_receiverin_n,RI8A5N,1096509616,
RI8A6E,A,cable_receiverin_e,RI8A6E,1096509616,
RI8A6N,A,cable_receiverin_n,RI8A6N,1096509616,
RI8A7E,A,cable_receiverin_e,RI8A7E,1096509616,
RI8A7N,A,cable_receiverin_n,RI8A7N,1096509616,
RI8A8E,A,cable_receiverin_e,RI8A8E,1096509616,
RI8A8N,A,cable_receiverin_n,RI8A8N,1096509616,
RI8B1E,A,cable_receiverin_e,RI8B1E,1096509616,
RI8B1N,A,cable_receiverin_n,RI8B1N,1096509616,
RI8B2E,A,cable_receiverin_e,RI8B2E,1096509616,
RI8B2N,A,cable_receiverin_n,RI8B2N,1096509616,
RI8B3E,A,cable_receiverin_e,RI8B3E,1096509616,
RI8B3N,A,cable_receiverin_n,RI8B3N,1096509616,
RI8B4E,A,cable_receiverin_e,RI8B4E,1096509616,
RI8B4N,A,cable_receiverin_n,RI8B4N,1096509616,
RI8B5E,A,cable_receiverin_e,RI8B5E,1096509616,
RI8B5N,A,cable_receiverin_n,RI8B5N,1096509616,
RI8B6E,A,cable_receiverin_e,RI8B6E,1096509616,
RI8B6N,A,cable_receiverin_n,RI8B6N,1096509616,
RI8B7E,A,cable_receiverin_e,RI8B7E,1096509616,
RI8B7N,A,cable_receiverin_n,RI8B7N,1096509616,
RI8B8E,A,cable_receiverin_e,RI8B8E,1096509616,
RI8B8N,A,cable_receiverin_n,RI8B8N,1096509616,
RO1A1E,A,cable_receiverout_e,RO1A1E,1096509616,
RO1A1N,A,cable_receiverout_n,RO1A1N,1096509616,
RO1A2E,A,cable_receiverout_e,RO1A2E,1096509616,
RO1A2N,A,cable_receiverout_n,RO1A2N,1096509616,
RO1A3E,A,cable_receiverout_e,RO1A3E,1096509616,
RO1A3N,A,cable_receiverout_n,RO1A3N,1096509616,
RO1A4E,A,cable_receiverout_e,RO1A4E,1096509616,
RO1A4N,A,cable_receiverout_n,RO1A4N,1096509616,
RO1A5E,A,cable_receiverout_e,RO1A5E,1096509616,
RO1A5N,A,cable_receiverout_n,RO1A5N,1096509616,
RO1A6E,A,cable_receiverout_e,RO1A6E,1096509616,
RO1A6N,A,cable_receiverout_n,RO1A6N,1096509616,
RO1A7E,A,cable_receiverout_e,RO1A7E,1096509616,
RO1A7N,A,cable_receiverout_n,RO1A7N,1096509616,
RO1A8E,A,cable_receiverout_e,RO1A8E,1096509616,
RO1A8N,A,cable_receiverout_n,RO1A8N,1096509616,
RO1B1E,A,cable_receiverout_e,RO1B1E,1096509616,
RO1B1N,A,cable_receiverout_n,RO1B1N,1096509616,
RO1B2E,A,cable_receiverout_e,RO1B2E,1096509616,
RO1B2N,A,cable_receiverout_n,RO1B2N,1096509616,
RO1B3E,A,cable_receiverout_e,RO1B3E,1096509616,
